,I_e,I_i,bumps,down_space,up_space
0,0.15000000000000013,-0.96,5.0,0.05468750000000001,0.1453125
0,0.15999999999999992,-0.96,5.0,0.05468750000000001,0.1453125
0,0.16999999999999993,-0.96,5.0,0.053125000000000006,0.146875
0,0.17999999999999994,-0.96,5.0,0.051562500000000004,0.1484375
0,0.18999999999999995,-0.96,5.0,0.051562500000000004,0.1484375
0,0.2,-0.96,5.0,0.05,0.15
0,0.21,-0.96,5.0,0.05,0.15
0,0.22,-0.96,5.0,0.0484375,0.15156250000000002
0,0.23,-0.96,5.0,0.045312500000000006,0.1546875
0,0.24,-0.96,5.0,0.045312500000000006,0.1546875
0,0.25,-0.96,5.0,0.045312500000000006,0.1546875
0,0.26,-0.96,5.0,0.043750000000000004,0.15625
0,0.27,-0.96,5.0,0.0421875,0.15781250000000002
0,0.28,-0.96,4.0,0.046875,0.203125
0,0.29000000000000004,-0.96,5.0,0.040625,0.159375
0,0.30000000000000004,-0.96,0.0,,inf
0,-0.61,-0.95,5.0,0.15156250000000002,0.0484375
0,-0.6,-0.95,5.0,0.15,0.05
0,-0.59,-0.95,5.0,0.146875,0.053125000000000006
0,-0.5800000000000001,-0.95,5.0,0.1453125,0.05468750000000001
0,-0.5700000000000001,-0.95,5.0,0.14375,0.056249999999999994
0,-0.56,-0.95,5.0,0.1421875,0.057812499999999996
0,-0.55,-0.95,5.0,0.140625,0.059375
0,-0.54,-0.95,5.0,0.140625,0.059375
0,-0.53,-0.95,5.0,0.1390625,0.0609375
0,-0.52,-0.95,5.0,0.13749999999999998,0.0625
0,-0.51,-0.95,5.0,0.1359375,0.06406250000000001
0,-0.5,-0.95,5.0,0.1359375,0.06406250000000001
0,-0.49,-0.95,5.0,0.134375,0.065625
0,-0.48,-0.95,5.0,0.134375,0.065625
0,-0.47,-0.95,5.0,0.13125,0.06874999999999999
0,-0.46,-0.95,5.0,0.13125,0.06874999999999999
0,-0.45,-0.95,5.0,0.1296875,0.0703125
0,-0.44,-0.95,5.0,0.12812500000000002,0.071875
0,-0.43,-0.95,5.0,0.1265625,0.0734375
0,-0.42,-0.95,6.0,0.1015625,0.06510416666666666
0,-0.41,-0.95,6.0,0.1015625,0.06510416666666666
0,-0.4,-0.95,5.0,0.1234375,0.0765625
0,-0.39,-0.95,5.0,0.121875,0.078125
0,-0.38,-0.95,5.0,0.1203125,0.0796875
0,-0.37,-0.95,6.0,0.09635416666666667,0.0703125
0,-0.36,-0.95,5.0,0.11875,0.08125
0,-0.35,-0.95,5.0,0.1171875,0.0828125
0,-0.34,-0.95,6.0,0.09375,0.07291666666666667
0,-0.33,-0.95,6.0,0.09375,0.07291666666666667
0,-0.31999999999999995,-0.95,5.0,0.1140625,0.0859375
0,-0.30999999999999994,-0.95,5.0,0.1109375,0.0890625
0,-0.29999999999999993,-0.95,6.0,0.09114583333333333,0.07552083333333333
0,-0.29000000000000004,-0.95,6.0,0.08854166666666666,0.078125
0,-0.28,-0.95,6.0,0.09114583333333333,0.07552083333333333
0,-0.27,-0.95,5.0,0.10625000000000001,0.09375
0,-0.26,-0.95,6.0,0.0859375,0.08072916666666667
0,-0.25,-0.95,6.0,0.0859375,0.08072916666666667
0,-0.24,-0.95,5.0,0.10312500000000001,0.096875
0,-0.23,-0.95,5.0,0.1015625,0.0984375
0,-0.22,-0.95,6.0,0.08333333333333334,0.08333333333333334
0,-0.21,-0.95,6.0,0.08333333333333334,0.08333333333333334
0,-0.2,-0.95,5.0,0.0984375,0.1015625
0,-0.18999999999999995,-0.95,6.0,0.08072916666666667,0.0859375
0,-0.17999999999999994,-0.95,5.0,0.0953125,0.1046875
0,-0.16999999999999993,-0.95,5.0,0.09375,0.10625000000000001
0,-0.16000000000000006,-0.95,5.0,0.09218749999999999,0.1078125
0,-0.15000000000000002,-0.95,5.0,0.09062500000000001,0.10937500000000001
0,-0.14,-0.95,5.0,0.0890625,0.1109375
0,-0.13,-0.95,6.0,0.07552083333333333,0.09114583333333333
0,-0.12,-0.95,5.0,0.08750000000000001,0.11249999999999999
0,-0.11,-0.95,5.0,0.084375,0.11562499999999999
0,-0.09999999999999998,-0.95,5.0,0.084375,0.11562499999999999
0,-0.08999999999999997,-0.95,6.0,0.0703125,0.09635416666666667
0,-0.07999999999999996,-0.95,5.0,0.0828125,0.1171875
0,-0.06999999999999995,-0.95,5.0,0.0796875,0.1203125
0,-0.059999999999999935,-0.95,6.0,0.06770833333333334,0.09895833333333334
0,-0.04999999999999993,-0.95,6.0,0.06770833333333334,0.09895833333333334
0,-0.040000000000000036,-0.95,5.0,0.0765625,0.1234375
0,-0.030000000000000027,-0.95,5.0,0.0765625,0.1234375
0,-0.020000000000000014,-0.95,5.0,0.075,0.125
0,-0.010000000000000007,-0.95,6.0,0.06510416666666666,0.1015625
0,0.0,-0.95,5.0,0.071875,0.12812500000000002
0,0.010000000000000007,-0.95,5.0,0.0703125,0.1296875
0,0.020000000000000014,-0.95,6.0,0.0625,0.10416666666666667
0,0.030000000000000027,-0.95,5.0,0.06874999999999999,0.13125
0,0.040000000000000036,-0.95,5.0,0.0671875,0.1328125
0,0.05000000000000005,-0.95,5.0,0.0671875,0.1328125
0,0.06000000000000005,-0.95,5.0,0.065625,0.134375
0,0.07000000000000006,-0.95,5.0,0.065625,0.134375
0,0.08000000000000007,-0.95,5.0,0.0625,0.13749999999999998
0,0.09000000000000008,-0.95,5.0,0.0625,0.13749999999999998
0,0.10000000000000007,-0.95,6.0,0.05468750000000001,0.11197916666666667
0,0.1100000000000001,-0.95,6.0,0.05468750000000001,0.11197916666666667
0,0.1200000000000001,-0.95,5.0,0.059375,0.140625
0,0.13000000000000012,-0.95,5.0,0.057812499999999996,0.1421875
0,0.14000000000000012,-0.95,5.0,0.057812499999999996,0.1421875
0,0.15000000000000013,-0.95,5.0,0.05468750000000001,0.1453125
0,0.15999999999999992,-0.95,5.0,0.05468750000000001,0.1453125
0,0.16999999999999993,-0.95,5.0,0.053125000000000006,0.146875
0,0.17999999999999994,-0.95,5.0,0.053125000000000006,0.146875
0,0.18999999999999995,-0.95,5.0,0.051562500000000004,0.1484375
0,0.2,-0.95,5.0,0.051562500000000004,0.1484375
0,0.21,-0.95,5.0,0.0484375,0.15156250000000002
0,0.22,-0.95,5.0,0.0484375,0.15156250000000002
0,0.23,-0.95,5.0,0.046875,0.153125
0,0.24,-0.95,5.0,0.046875,0.153125
0,0.25,-0.95,5.0,0.045312500000000006,0.1546875
0,0.26,-0.95,5.0,0.045312500000000006,0.1546875
0,0.27,-0.95,5.0,0.043750000000000004,0.15625
0,0.28,-0.95,4.0,0.046875,0.203125
0,0.29000000000000004,-0.95,2.0,0.0625,0.43750000000000006
0,0.30000000000000004,-0.95,0.0,,inf
0,-0.61,-0.94,5.0,0.15156250000000002,0.0484375
0,-0.6,-0.94,5.0,0.15,0.05
0,-0.59,-0.94,5.0,0.1484375,0.051562500000000004
0,-0.5800000000000001,-0.94,5.0,0.1453125,0.05468750000000001
0,-0.5700000000000001,-0.94,5.0,0.1453125,0.05468750000000001
0,-0.56,-0.94,5.0,0.14375,0.056249999999999994
0,-0.55,-0.94,5.0,0.1421875,0.057812499999999996
0,-0.54,-0.94,5.0,0.1421875,0.057812499999999996
0,-0.53,-0.94,5.0,0.1390625,0.0609375
0,-0.52,-0.94,5.0,0.1390625,0.0609375
0,-0.51,-0.94,5.0,0.13749999999999998,0.0625
0,-0.5,-0.94,5.0,0.1359375,0.06406250000000001
0,-0.49,-0.94,5.0,0.134375,0.065625
0,-0.48,-0.94,5.0,0.134375,0.065625
0,-0.47,-0.94,5.0,0.1328125,0.0671875
0,-0.46,-0.94,6.0,0.10677083333333333,0.05989583333333333
0,-0.45,-0.94,6.0,0.10416666666666667,0.0625
0,-0.44,-0.94,5.0,0.12812500000000002,0.071875
0,-0.43,-0.94,5.0,0.12812500000000002,0.071875
0,-0.42,-0.94,5.0,0.1265625,0.0734375
0,-0.41,-0.94,5.0,0.1234375,0.0765625
0,-0.4,-0.94,5.0,0.1234375,0.0765625
0,-0.39,-0.94,5.0,0.1234375,0.0765625
0,-0.38,-0.94,5.0,0.121875,0.078125
0,-0.37,-0.94,5.0,0.11875,0.08125
0,-0.36,-0.94,5.0,0.11875,0.08125
0,-0.35,-0.94,5.0,0.1171875,0.0828125
0,-0.34,-0.94,5.0,0.11562499999999999,0.084375
0,-0.33,-0.94,6.0,0.09375,0.07291666666666667
0,-0.31999999999999995,-0.94,5.0,0.11249999999999999,0.08750000000000001
0,-0.30999999999999994,-0.94,5.0,0.11249999999999999,0.08750000000000001
0,-0.29999999999999993,-0.94,5.0,0.1109375,0.0890625
0,-0.29000000000000004,-0.94,6.0,0.09114583333333333,0.07552083333333333
0,-0.28,-0.94,5.0,0.1078125,0.09218749999999999
0,-0.27,-0.94,5.0,0.1078125,0.09218749999999999
0,-0.26,-0.94,6.0,0.08854166666666666,0.078125
0,-0.25,-0.94,6.0,0.0859375,0.08072916666666667
0,-0.24,-0.94,5.0,0.10312500000000001,0.096875
0,-0.23,-0.94,5.0,0.1015625,0.0984375
0,-0.22,-0.94,5.0,0.1,0.1
0,-0.21,-0.94,6.0,0.08333333333333334,0.08333333333333334
0,-0.2,-0.94,5.0,0.0984375,0.1015625
0,-0.18999999999999995,-0.94,5.0,0.0953125,0.1046875
0,-0.17999999999999994,-0.94,6.0,0.08072916666666667,0.0859375
0,-0.16999999999999993,-0.94,6.0,0.08072916666666667,0.0859375
0,-0.16000000000000006,-0.94,5.0,0.09218749999999999,0.1078125
0,-0.15000000000000002,-0.94,5.0,0.09062500000000001,0.10937500000000001
0,-0.14,-0.94,6.0,0.07552083333333333,0.09114583333333333
0,-0.13,-0.94,6.0,0.07552083333333333,0.09114583333333333
0,-0.12,-0.94,6.0,0.07552083333333333,0.09114583333333333
0,-0.11,-0.94,5.0,0.0859375,0.1140625
0,-0.09999999999999998,-0.94,6.0,0.07552083333333333,0.09114583333333333
0,-0.08999999999999997,-0.94,6.0,0.07291666666666667,0.09375
0,-0.07999999999999996,-0.94,5.0,0.08125,0.11875
0,-0.06999999999999995,-0.94,5.0,0.0796875,0.1203125
0,-0.059999999999999935,-0.94,5.0,0.0796875,0.1203125
0,-0.04999999999999993,-0.94,5.0,0.0796875,0.1203125
0,-0.040000000000000036,-0.94,5.0,0.0765625,0.1234375
0,-0.030000000000000027,-0.94,5.0,0.0765625,0.1234375
0,-0.020000000000000014,-0.94,5.0,0.075,0.125
0,-0.010000000000000007,-0.94,5.0,0.0734375,0.1265625
0,0.0,-0.94,5.0,0.0734375,0.1265625
0,0.010000000000000007,-0.94,5.0,0.0703125,0.1296875
0,0.020000000000000014,-0.94,5.0,0.0703125,0.1296875
0,0.030000000000000027,-0.94,6.0,0.0625,0.10416666666666667
0,0.040000000000000036,-0.94,5.0,0.06874999999999999,0.13125
0,0.05000000000000005,-0.94,5.0,0.0671875,0.1328125
0,0.06000000000000005,-0.94,5.0,0.065625,0.134375
0,0.07000000000000006,-0.94,6.0,0.057291666666666664,0.10937500000000001
0,0.08000000000000007,-0.94,5.0,0.06406250000000001,0.1359375
0,0.09000000000000008,-0.94,5.0,0.0625,0.13749999999999998
0,0.10000000000000007,-0.94,6.0,0.057291666666666664,0.10937500000000001
0,0.1100000000000001,-0.94,6.0,0.05468750000000001,0.11197916666666667
0,0.1200000000000001,-0.94,5.0,0.059375,0.140625
0,0.13000000000000012,-0.94,5.0,0.057812499999999996,0.1421875
0,0.14000000000000012,-0.94,5.0,0.057812499999999996,0.1421875
0,0.15000000000000013,-0.94,6.0,0.04947916666666667,0.1171875
0,0.15999999999999992,-0.94,5.0,0.05468750000000001,0.1453125
0,0.16999999999999993,-0.94,5.0,0.05468750000000001,0.1453125
0,0.17999999999999994,-0.94,5.0,0.053125000000000006,0.146875
0,0.18999999999999995,-0.94,5.0,0.053125000000000006,0.146875
0,0.2,-0.94,5.0,0.051562500000000004,0.1484375
0,0.21,-0.94,5.0,0.05,0.15
0,0.22,-0.94,5.0,0.0484375,0.15156250000000002
0,0.23,-0.94,5.0,0.0484375,0.15156250000000002
0,0.24,-0.94,5.0,0.046875,0.153125
0,0.25,-0.94,5.0,0.045312500000000006,0.1546875
0,0.27,-0.94,5.0,0.043750000000000004,0.15625
0,0.28,-0.94,5.0,0.043750000000000004,0.15625
0,0.29000000000000004,-0.94,5.0,0.040625,0.159375
0,0.30000000000000004,-0.94,5.0,0.040625,0.159375
0,-0.6,-0.93,5.0,0.15156250000000002,0.0484375
0,-0.59,-0.93,5.0,0.1484375,0.051562500000000004
0,-0.5800000000000001,-0.93,5.0,0.146875,0.053125000000000006
0,-0.5700000000000001,-0.93,5.0,0.146875,0.053125000000000006
0,-0.56,-0.93,5.0,0.14375,0.056249999999999994
0,-0.55,-0.93,5.0,0.14375,0.056249999999999994
0,-0.54,-0.93,5.0,0.1421875,0.057812499999999996
0,-0.53,-0.93,5.0,0.140625,0.059375
0,-0.52,-0.93,5.0,0.1390625,0.0609375
0,-0.51,-0.93,5.0,0.13749999999999998,0.0625
0,-0.5,-0.93,5.0,0.13749999999999998,0.0625
0,-0.49,-0.93,5.0,0.134375,0.065625
0,-0.48,-0.93,5.0,0.134375,0.065625
0,-0.47,-0.93,5.0,0.1328125,0.0671875
0,-0.46,-0.93,5.0,0.1328125,0.0671875
0,-0.45,-0.93,5.0,0.1296875,0.0703125
0,-0.44,-0.93,6.0,0.10416666666666667,0.0625
0,-0.43,-0.93,6.0,0.10416666666666667,0.0625
0,-0.42,-0.93,5.0,0.1265625,0.0734375
0,-0.41,-0.93,5.0,0.125,0.075
0,-0.4,-0.93,5.0,0.125,0.075
0,-0.39,-0.93,6.0,0.1015625,0.06510416666666666
0,-0.38,-0.93,5.0,0.121875,0.078125
0,-0.37,-0.93,5.0,0.1203125,0.0796875
0,-0.36,-0.93,6.0,0.09635416666666667,0.0703125
0,-0.35,-0.93,6.0,0.09635416666666667,0.0703125
0,-0.34,-0.93,5.0,0.1171875,0.0828125
0,-0.33,-0.93,5.0,0.1140625,0.0859375
0,-0.31999999999999995,-0.93,6.0,0.09375,0.07291666666666667
0,-0.30999999999999994,-0.93,6.0,0.09114583333333333,0.07552083333333333
0,-0.29999999999999993,-0.93,6.0,0.09114583333333333,0.07552083333333333
0,-0.29000000000000004,-0.93,5.0,0.1109375,0.0890625
0,-0.28,-0.93,6.0,0.09114583333333333,0.07552083333333333
0,-0.27,-0.93,6.0,0.08854166666666666,0.078125
0,-0.26,-0.93,5.0,0.10625000000000001,0.09375
0,-0.25,-0.93,5.0,0.1046875,0.0953125
0,-0.24,-0.93,6.0,0.08854166666666666,0.078125
0,-0.23,-0.93,6.0,0.0859375,0.08072916666666667
0,-0.22,-0.93,5.0,0.1015625,0.0984375
0,-0.21,-0.93,6.0,0.08333333333333334,0.08333333333333334
0,-0.2,-0.93,5.0,0.0984375,0.1015625
0,-0.18999999999999995,-0.93,5.0,0.096875,0.10312500000000001
0,-0.17999999999999994,-0.93,5.0,0.0953125,0.1046875
0,-0.16999999999999993,-0.93,5.0,0.09375,0.10625000000000001
0,-0.16000000000000006,-0.93,5.0,0.09375,0.10625000000000001
0,-0.15000000000000002,-0.93,6.0,0.078125,0.08854166666666666
0,-0.14,-0.93,5.0,0.09062500000000001,0.10937500000000001
0,-0.13,-0.93,5.0,0.0890625,0.1109375
0,-0.12,-0.93,5.0,0.08750000000000001,0.11249999999999999
0,-0.11,-0.93,6.0,0.07552083333333333,0.09114583333333333
0,-0.09999999999999998,-0.93,5.0,0.0859375,0.1140625
0,-0.08999999999999997,-0.93,5.0,0.0828125,0.1171875
0,-0.07999999999999996,-0.93,6.0,0.07291666666666667,0.09375
0,-0.06999999999999995,-0.93,6.0,0.0703125,0.09635416666666667
0,-0.059999999999999935,-0.93,5.0,0.0796875,0.1203125
0,-0.04999999999999993,-0.93,5.0,0.0796875,0.1203125
0,-0.040000000000000036,-0.93,5.0,0.078125,0.121875
0,-0.030000000000000027,-0.93,6.0,0.06770833333333334,0.09895833333333334
0,-0.020000000000000014,-0.93,5.0,0.075,0.125
0,-0.010000000000000007,-0.93,5.0,0.0734375,0.1265625
0,0.0,-0.93,6.0,0.06510416666666666,0.1015625
0,0.010000000000000007,-0.93,5.0,0.071875,0.12812500000000002
0,0.020000000000000014,-0.93,5.0,0.0703125,0.1296875
0,0.030000000000000027,-0.93,5.0,0.0703125,0.1296875
0,0.040000000000000036,-0.93,5.0,0.06874999999999999,0.13125
0,0.05000000000000005,-0.93,5.0,0.06874999999999999,0.13125
0,0.06000000000000005,-0.93,6.0,0.05989583333333333,0.10677083333333333
0,0.07000000000000006,-0.93,5.0,0.065625,0.134375
0,0.08000000000000007,-0.93,6.0,0.05989583333333333,0.10677083333333333
0,0.09000000000000008,-0.93,6.0,0.057291666666666664,0.10937500000000001
0,0.10000000000000007,-0.93,5.0,0.0625,0.13749999999999998
0,0.1100000000000001,-0.93,5.0,0.0609375,0.1390625
0,0.1200000000000001,-0.93,5.0,0.0609375,0.1390625
0,0.13000000000000012,-0.93,5.0,0.059375,0.140625
0,0.14000000000000012,-0.93,5.0,0.057812499999999996,0.1421875
0,0.15000000000000013,-0.93,5.0,0.056249999999999994,0.14375
0,0.15999999999999992,-0.93,5.0,0.056249999999999994,0.14375
0,0.16999999999999993,-0.93,5.0,0.05468750000000001,0.1453125
0,0.17999999999999994,-0.93,5.0,0.05468750000000001,0.1453125
0,0.18999999999999995,-0.93,5.0,0.053125000000000006,0.146875
0,0.2,-0.93,5.0,0.051562500000000004,0.1484375
0,0.21,-0.93,5.0,0.051562500000000004,0.1484375
0,0.22,-0.93,5.0,0.05,0.15
0,0.23,-0.93,5.0,0.0484375,0.15156250000000002
0,0.24,-0.93,5.0,0.0484375,0.15156250000000002
0,0.25,-0.93,5.0,0.045312500000000006,0.1546875
0,0.26,-0.93,5.0,0.045312500000000006,0.1546875
0,0.27,-0.93,5.0,0.043750000000000004,0.15625
0,0.28,-0.93,5.0,0.043750000000000004,0.15625
0,0.29000000000000004,-0.93,5.0,0.0421875,0.15781250000000002
0,0.30000000000000004,-0.93,5.0,0.040625,0.159375
0,0.31000000000000005,-0.93,0.0,inf,inf
0,-0.6,-0.92,5.0,0.15156250000000002,0.0484375
0,-0.59,-0.92,5.0,0.15,0.05
0,-0.5800000000000001,-0.92,5.0,0.1484375,0.051562500000000004
0,-0.5700000000000001,-0.92,5.0,0.1453125,0.05468750000000001
0,-0.56,-0.92,5.0,0.1453125,0.05468750000000001
0,-0.55,-0.92,5.0,0.1421875,0.057812499999999996
0,-0.54,-0.92,5.0,0.1421875,0.057812499999999996
0,-0.53,-0.92,5.0,0.140625,0.059375
0,-0.52,-0.92,5.0,0.140625,0.059375
0,-0.51,-0.92,5.0,0.13749999999999998,0.0625
0,-0.5,-0.92,5.0,0.13749999999999998,0.0625
0,-0.49,-0.92,5.0,0.1359375,0.06406250000000001
0,-0.48,-0.92,6.0,0.10937500000000001,0.057291666666666664
0,-0.47,-0.92,6.0,0.10937500000000001,0.057291666666666664
0,-0.46,-0.92,5.0,0.13125,0.06874999999999999
0,-0.45,-0.92,5.0,0.1296875,0.0703125
0,-0.44,-0.92,5.0,0.1296875,0.0703125
0,-0.43,-0.92,5.0,0.12812500000000002,0.071875
0,-0.42,-0.92,5.0,0.1265625,0.0734375
0,-0.41,-0.92,5.0,0.125,0.075
0,-0.4,-0.92,5.0,0.125,0.075
0,-0.39,-0.92,5.0,0.1234375,0.0765625
0,-0.38,-0.92,5.0,0.1234375,0.0765625
0,-0.37,-0.92,5.0,0.1203125,0.0796875
0,-0.36,-0.92,5.0,0.1203125,0.0796875
0,-0.35,-0.92,6.0,0.09635416666666667,0.0703125
0,-0.34,-0.92,5.0,0.11875,0.08125
0,-0.33,-0.92,5.0,0.11562499999999999,0.084375
0,-0.31999999999999995,-0.92,5.0,0.11562499999999999,0.084375
0,-0.30999999999999994,-0.92,6.0,0.09114583333333333,0.07552083333333333
0,-0.29999999999999993,-0.92,5.0,0.1109375,0.0890625
0,-0.29000000000000004,-0.92,5.0,0.1109375,0.0890625
0,-0.28,-0.92,6.0,0.08854166666666666,0.078125
0,-0.27,-0.92,6.0,0.08854166666666666,0.078125
0,-0.26,-0.92,5.0,0.10625000000000001,0.09375
0,-0.25,-0.92,5.0,0.1046875,0.0953125
0,-0.24,-0.92,5.0,0.1046875,0.0953125
0,-0.23,-0.92,6.0,0.0859375,0.08072916666666667
0,-0.22,-0.92,5.0,0.1015625,0.0984375
0,-0.21,-0.92,5.0,0.1,0.1
0,-0.2,-0.92,6.0,0.08333333333333334,0.08333333333333334
0,-0.18999999999999995,-0.92,6.0,0.08333333333333334,0.08333333333333334
0,-0.17999999999999994,-0.92,5.0,0.096875,0.10312500000000001
0,-0.16999999999999993,-0.92,5.0,0.0953125,0.1046875
0,-0.16000000000000006,-0.92,6.0,0.08072916666666667,0.0859375
0,-0.15000000000000002,-0.92,6.0,0.078125,0.08854166666666666
0,-0.14,-0.92,6.0,0.07552083333333333,0.09114583333333333
0,-0.13,-0.92,6.0,0.07552083333333333,0.09114583333333333
0,-0.12,-0.92,6.0,0.07552083333333333,0.09114583333333333
0,-0.11,-0.92,6.0,0.07552083333333333,0.09114583333333333
0,-0.09999999999999998,-0.92,5.0,0.084375,0.11562499999999999
0,-0.08999999999999997,-0.92,5.0,0.084375,0.11562499999999999
0,-0.07999999999999996,-0.92,6.0,0.07291666666666667,0.09375
0,-0.06999999999999995,-0.92,6.0,0.0703125,0.09635416666666667
0,-0.059999999999999935,-0.92,5.0,0.0796875,0.1203125
0,-0.04999999999999993,-0.92,5.0,0.0796875,0.1203125
0,-0.040000000000000036,-0.92,5.0,0.078125,0.121875
0,-0.030000000000000027,-0.92,5.0,0.0765625,0.1234375
0,-0.020000000000000014,-0.92,5.0,0.0765625,0.1234375
0,-0.010000000000000007,-0.92,5.0,0.075,0.125
0,0.0,-0.92,5.0,0.0734375,0.1265625
0,0.010000000000000007,-0.92,6.0,0.06510416666666666,0.1015625
0,0.020000000000000014,-0.92,5.0,0.071875,0.12812500000000002
0,0.030000000000000027,-0.92,5.0,0.06874999999999999,0.13125
0,0.040000000000000036,-0.92,5.0,0.06874999999999999,0.13125
0,0.05000000000000005,-0.92,6.0,0.05989583333333333,0.10677083333333333
0,0.06000000000000005,-0.92,5.0,0.0671875,0.1328125
0,0.07000000000000006,-0.92,5.0,0.065625,0.134375
0,0.08000000000000007,-0.92,6.0,0.057291666666666664,0.10937500000000001
0,0.09000000000000008,-0.92,6.0,0.057291666666666664,0.10937500000000001
0,0.10000000000000007,-0.92,5.0,0.0625,0.13749999999999998
0,0.1100000000000001,-0.92,5.0,0.0609375,0.1390625
0,0.1200000000000001,-0.92,5.0,0.0609375,0.1390625
0,0.13000000000000012,-0.92,6.0,0.05468750000000001,0.11197916666666667
0,0.14000000000000012,-0.92,5.0,0.057812499999999996,0.1421875
0,0.15000000000000013,-0.92,5.0,0.057812499999999996,0.1421875
0,0.15999999999999992,-0.92,5.0,0.056249999999999994,0.14375
0,0.16999999999999993,-0.92,5.0,0.05468750000000001,0.1453125
0,0.17999999999999994,-0.92,5.0,0.05468750000000001,0.1453125
0,0.18999999999999995,-0.92,5.0,0.053125000000000006,0.146875
0,0.2,-0.92,5.0,0.051562500000000004,0.1484375
0,0.21,-0.92,5.0,0.051562500000000004,0.1484375
0,0.22,-0.92,5.0,0.05,0.15
0,0.23,-0.92,5.0,0.0484375,0.15156250000000002
0,0.24,-0.92,5.0,0.0484375,0.15156250000000002
0,0.25,-0.92,5.0,0.046875,0.153125
0,0.26,-0.92,5.0,0.045312500000000006,0.1546875
0,0.27,-0.92,5.0,0.043750000000000004,0.15625
0,0.28,-0.92,5.0,0.043750000000000004,0.15625
0,0.29000000000000004,-0.92,5.0,0.043750000000000004,0.15625
0,0.30000000000000004,-0.92,5.0,0.040625,0.159375
0,0.31000000000000005,-0.92,5.0,0.040625,0.159375
0,-0.59,-0.91,5.0,0.15,0.05
0,-0.5800000000000001,-0.91,5.0,0.1484375,0.051562500000000004
0,-0.5700000000000001,-0.91,5.0,0.146875,0.053125000000000006
0,-0.56,-0.91,5.0,0.1453125,0.05468750000000001
0,-0.55,-0.91,5.0,0.14375,0.056249999999999994
0,-0.54,-0.91,5.0,0.14375,0.056249999999999994
0,-0.53,-0.91,5.0,0.140625,0.059375
0,-0.52,-0.91,5.0,0.140625,0.059375
0,-0.51,-0.91,5.0,0.13749999999999998,0.0625
0,-0.5,-0.91,5.0,0.13749999999999998,0.0625
0,-0.49,-0.91,5.0,0.1359375,0.06406250000000001
0,-0.48,-0.91,5.0,0.1359375,0.06406250000000001
0,-0.47,-0.91,6.0,0.10937500000000001,0.057291666666666664
0,-0.46,-0.91,6.0,0.10677083333333333,0.05989583333333333
0,-0.45,-0.91,5.0,0.13125,0.06874999999999999
0,-0.44,-0.91,5.0,0.13125,0.06874999999999999
0,-0.43,-0.91,5.0,0.1296875,0.0703125
0,-0.42,-0.91,6.0,0.10416666666666667,0.0625
0,-0.41,-0.91,5.0,0.1265625,0.0734375
0,-0.4,-0.91,5.0,0.1265625,0.0734375
0,-0.39,-0.91,6.0,0.1015625,0.06510416666666666
0,-0.38,-0.91,5.0,0.1234375,0.0765625
0,-0.37,-0.91,5.0,0.121875,0.078125
0,-0.36,-0.91,5.0,0.1203125,0.0796875
0,-0.35,-0.91,6.0,0.09635416666666667,0.0703125
0,-0.34,-0.91,5.0,0.1171875,0.0828125
0,-0.33,-0.91,6.0,0.09635416666666667,0.0703125
0,-0.31999999999999995,-0.91,5.0,0.11562499999999999,0.084375
0,-0.30999999999999994,-0.91,6.0,0.09375,0.07291666666666667
0,-0.29999999999999993,-0.91,6.0,0.09375,0.07291666666666667
0,-0.29000000000000004,-0.91,5.0,0.11249999999999999,0.08750000000000001
0,-0.28,-0.91,5.0,0.10937500000000001,0.09062500000000001
0,-0.27,-0.91,6.0,0.08854166666666666,0.078125
0,-0.26,-0.91,6.0,0.08854166666666666,0.078125
0,-0.25,-0.91,5.0,0.1046875,0.0953125
0,-0.24,-0.91,6.0,0.0859375,0.08072916666666667
0,-0.23,-0.91,5.0,0.10312500000000001,0.096875
0,-0.22,-0.91,5.0,0.10312500000000001,0.096875
0,-0.21,-0.91,5.0,0.1015625,0.0984375
0,-0.2,-0.91,5.0,0.1,0.1
0,-0.18999999999999995,-0.91,5.0,0.096875,0.10312500000000001
0,-0.17999999999999994,-0.91,6.0,0.08072916666666667,0.0859375
0,-0.16999999999999993,-0.91,5.0,0.0953125,0.1046875
0,-0.16000000000000006,-0.91,5.0,0.09375,0.10625000000000001
0,-0.15000000000000002,-0.91,5.0,0.09375,0.10625000000000001
0,-0.14,-0.91,6.0,0.078125,0.08854166666666666
0,-0.13,-0.91,5.0,0.0890625,0.1109375
0,-0.12,-0.91,6.0,0.07552083333333333,0.09114583333333333
0,-0.11,-0.91,6.0,0.07552083333333333,0.09114583333333333
0,-0.09999999999999998,-0.91,6.0,0.07552083333333333,0.09114583333333333
0,-0.08999999999999997,-0.91,5.0,0.0859375,0.1140625
0,-0.07999999999999996,-0.91,5.0,0.084375,0.11562499999999999
0,-0.06999999999999995,-0.91,5.0,0.0828125,0.1171875
0,-0.059999999999999935,-0.91,6.0,0.0703125,0.09635416666666667
0,-0.04999999999999993,-0.91,5.0,0.08125,0.11875
0,-0.040000000000000036,-0.91,5.0,0.0796875,0.1203125
0,-0.030000000000000027,-0.91,6.0,0.0703125,0.09635416666666667
0,-0.020000000000000014,-0.91,6.0,0.06770833333333334,0.09895833333333334
0,-0.010000000000000007,-0.91,5.0,0.075,0.125
0,0.0,-0.91,5.0,0.0734375,0.1265625
0,0.010000000000000007,-0.91,6.0,0.06510416666666666,0.1015625
