,I_e,I_i,stability,static,dynamic,double,p_random,p_down
0,-0.17999999999999994,-0.99,0,0,0,0,2,2
0,-0.16999999999999993,-0.99,0,0,0,0,2,2
0,-0.16000000000000003,-0.99,0,0,0,0,2,2
0,-0.15000000000000002,-0.99,0,0,0,0,2,2
0,-0.14,-0.99,0,0,0,0,2,2
0,-0.13,-0.99,0,0,0,0,2,2
0,-0.12,-0.99,0,0,0,0,2,2
0,-0.10999999999999999,-0.99,0,0,0,0,2,2
0,-0.09999999999999998,-0.99,0,0,0,0,2,2
0,-0.08999999999999997,-0.99,0,0,0,0,2,2
0,-0.07999999999999996,-0.99,0,0,0,0,2,2
0,-0.06999999999999995,-0.99,0,0,0,0,2,2
0,-0.05999999999999994,-0.99,0,0,0,0,2,2
0,-0.04999999999999993,-0.99,0,0,0,0,2,2
0,-0.040000000000000036,-0.99,0,0,0,0,2,2
0,-0.030000000000000027,-0.99,0,0,0,0,2,2
0,-0.020000000000000018,-0.99,0,0,0,0,2,2
0,-0.010000000000000009,-0.99,0,0,0,0,2,2
0,0.0,-0.99,0,0,0,0,2,2
0,0.010000000000000009,-0.99,0,0,0,0,2,2
0,0.020000000000000018,-0.99,0,0,0,0,2,2
0,0.030000000000000027,-0.99,0,0,0,0,2,2
0,0.040000000000000036,-0.99,0,0,0,0,2,2
0,0.050000000000000044,-0.99,0,0,0,0,2,2
0,0.06000000000000005,-0.99,0,0,0,0,2,2
0,0.07000000000000006,-0.99,0,0,0,0,2,2
0,0.08000000000000007,-0.99,0,0,0,0,2,2
0,0.09000000000000008,-0.99,0,0,0,0,2,2
0,0.10000000000000009,-0.99,0,0,0,0,2,2
0,0.1100000000000001,-0.99,0,0,0,0,2,2
0,0.1200000000000001,-0.99,0,0,0,0,2,2
0,0.13000000000000012,-0.99,0,0,0,0,2,2
0,0.14000000000000012,-0.99,0,0,0,0,2,2
0,0.15000000000000013,-0.99,0,0,0,0,2,2
0,0.15999999999999992,-0.99,0,0,0,0,2,2
0,0.16999999999999993,-0.99,0,0,0,0,2,2
0,0.17999999999999994,-0.99,0,0,0,0,2,2
0,0.18999999999999995,-0.99,0,0,0,0,2,2
0,0.19999999999999996,-0.99,0,0,0,0,2,2
0,0.20999999999999996,-0.99,0,0,0,0,2,2
0,0.21999999999999997,-0.99,0,0,0,0,2,2
0,0.22999999999999998,-0.99,0,0,0,0,2,2
0,0.24,-0.99,0,0,0,0,2,2
0,0.25,-0.99,0,0,0,0,2,2
0,0.26,-0.99,0,0,0,0,2,2
0,0.27,-0.99,0,0,0,0,2,2
0,0.28,-0.99,0,0,0,0,2,2
0,0.29000000000000004,-0.99,0,0,0,0,2,2
0,0.30000000000000004,-0.99,0,0,0,0,2,2
0,0.31000000000000005,-0.99,0,0,0,0,2,2
0,0.32000000000000006,-0.99,0,0,0,0,2,2
0,0.33000000000000007,-0.99,0,0,0,0,2,2
0,0.3400000000000001,-0.99,0,0,0,0,2,2
0,0.3500000000000001,-0.99,0,0,0,0,2,2
0,0.3600000000000001,-0.99,0,0,0,0,2,2
0,0.3700000000000001,-0.99,0,0,0,0,2,2
0,0.3800000000000001,-0.99,0,0,0,0,4,4
0,0.3900000000000001,-0.99,1,0,0,0,1,1
0,0.40000000000000013,-0.99,1,0,0,0,1,1
0,0.4099999999999999,-0.99,1,0,0,0,1,1
0,0.41999999999999993,-0.99,1,0,0,0,1,1
0,0.42999999999999994,-0.99,1,0,0,0,1,1
0,0.43999999999999995,-0.99,1,0,0,0,1,1
0,0.44999999999999996,-0.99,1,0,0,0,1,1
0,0.45999999999999996,-0.99,1,0,0,0,1,1
0,0.47,-0.99,1,0,0,0,1,1
0,0.48,-0.99,1,0,0,0,1,1
0,0.49,-0.99,1,0,0,0,1,1
0,0.5,-0.99,1,0,0,0,1,1
0,0.51,-0.99,1,0,0,0,1,1
0,0.52,-0.99,1,0,0,0,1,1
0,0.53,-0.99,1,0,0,0,1,1
0,0.54,-0.99,1,0,0,0,1,1
0,0.55,-0.99,1,0,0,0,1,1
0,0.56,-0.99,1,0,0,0,1,1
0,0.5700000000000001,-0.99,1,0,0,0,1,1
0,0.5800000000000001,-0.99,1,0,0,0,1,1
0,0.5900000000000001,-0.99,1,0,0,0,1,1
0,0.6000000000000001,-0.99,1,0,0,0,1,1
0,0.6100000000000001,-0.99,1,0,0,0,1,1
0,0.6200000000000001,-0.99,1,0,0,0,1,1
0,0.6300000000000001,-0.99,1,0,0,0,1,1
0,0.6400000000000001,-0.99,1,0,0,0,1,1
0,0.6500000000000001,-0.99,1,0,0,0,1,1
0,0.6600000000000001,-0.99,1,0,0,0,1,1
0,0.6699999999999999,-0.99,1,0,0,0,1,1
0,0.6799999999999999,-0.99,1,0,0,0,1,1
0,0.69,-0.99,1,0,0,0,1,1
0,0.7,-0.99,1,0,0,0,1,1
0,0.71,-0.99,1,0,0,0,1,1
0,0.72,-0.99,1,0,0,0,1,1
0,0.73,-0.99,1,0,0,0,1,1
0,0.74,-0.99,1,0,0,0,1,1
0,0.75,-0.99,1,0,0,0,1,1
